PSU Readback Voltage,PSU Readback Current,PSU Voltage Set,Load Current Set,DMM Voltage Measured,key,Programming/Voltage Absolute Error (V),Relative/Voltage Percentage Error (%),PSU Readback Voltage Error (V),PSU Readback Voltage Percentage Error (%)
0.9999266,0.9993638,1.0,1.0,0.999752497,0,-0.00024750299999998226,-0.00024750299999998226,0.00017410299999998102,0.00017410299999998102
2.000071,0.9993638,2.0,1.0,2.00022617,0,0.0002261699999999145,0.0002261699999999145,-0.00015516999999976022,-0.00015516999999976022
2.998217,0.9993638,3.0,1.0,2.99882376,0,-0.0011762399999999396,-0.0011762399999999396,-0.0006067600000001505,-0.0006067600000001505
3.999412,0.9993638,4.0,1.0,3.99931445,0,-0.0006855500000000347,-0.0006855500000000347,9.75500000000018e-05,9.75500000000018e-05
4.999619,0.9993638,5.0,1.0,4.99982202,0,-0.00017798000000013303,-0.00017798000000013303,-0.00020301999999983167,-0.00020301999999983167
5.999847,0.9996893,6.0,1.0,6.00034816,0,0.0003481599999997087,0.0003481599999997087,-0.0005011599999997784,-0.0005011599999997784
6.998078,0.9993638,7.0,1.0,6.99897856,0,-0.001021439999999707,-0.001021439999999707,-0.0009005600000007163,-0.0009005600000007163
7.998348,0.9996893,8.0,1.0,7.99953912,0,-0.0004608800000003299,-0.0004608800000003299,-0.001191119999999657,-0.001191119999999657
8.999648,0.9996893,9.0,1.0,9.00011063,0,0.00011063000000000045,0.00011063000000000045,-0.0004626299999994643,-0.0004626299999994643
9.997941,0.9993638,10.0,1.0,9.9988059,0,-0.0011940999999993096,-0.0011940999999993096,-0.0008648999999998352,-0.0008648999999998352
1.000936,1.999119,1.0,2.0,0.999890435,1,-0.00010956500000003366,-0.00010956500000003366,0.0010455650000000816,0.0010455650000000816
2.00108,1.999119,2.0,2.0,2.00028004,1,0.0002800399999998149,0.0002800399999998149,0.000799960000000155,0.000799960000000155
2.999226,1.999119,3.0,2.0,2.99884014,1,-0.0011598600000000125,-0.0011598600000000125,0.00038586000000018217,0.00038586000000018217
3.999412,1.999119,4.0,2.0,3.99934897,1,-0.0006510300000002189,-0.0006510300000002189,6.303000000018599e-05,6.303000000018599e-05
4.999619,1.999119,5.0,2.0,4.99995504,1,-4.496000000031586e-05,-4.496000000031586e-05,-0.00033603999999964884,-0.00033603999999964884
5.999847,1.999119,6.0,2.0,6.000594,1,0.0005940000000004275,0.0005940000000004275,-0.0007470000000004973,-0.0007470000000004973
6.998078,1.999119,7.0,2.0,6.99900634,1,-0.0009936599999997853,-0.0009936599999997853,-0.0009283400000006381,-0.0009283400000006381
7.999357,1.999119,8.0,2.0,7.99949579,1,-0.0005042099999998939,-0.0005042099999998939,-0.0001387900000002773,-0.0001387900000002773
8.999648,1.999119,9.0,2.0,9.00010938,1,0.00010937999999960368,0.00010937999999960368,-0.00046137999999906754,-0.00046137999999906754
9.997941,1.999119,10.0,2.0,9.99884347,1,-0.0011565299999993783,-0.0011565299999993783,-0.0009024699999997665,-0.0009024699999997665
1.000936,2.999184,1.0,3.0,1.00014229,2,0.0001422900000001004,0.0001422900000001004,0.0007937099999999475,0.0007937099999999475
2.000071,2.998859,2.0,3.0,2.00040712,2,0.0004071200000002051,0.0004071200000002051,-0.0003361200000000508,-0.0003361200000000508
2.999226,2.998859,3.0,3.0,2.9990762,2,-0.0009237999999998081,-0.0009237999999998081,0.00014979999999997773,0.00014979999999997773
3.999412,2.999184,4.0,3.0,3.99949925,2,-0.0005007500000000498,-0.0005007500000000498,-8.724999999998317e-05,-8.724999999998317e-05
4.999619,2.999184,5.0,3.0,4.99961095,2,-0.00038904999999989087,-0.00038904999999989087,8.049999999926172e-06,8.049999999926172e-06
5.999847,2.999184,6.0,3.0,6.00054796,2,0.0005479599999995699,0.0005479599999995699,-0.0007009599999996396,-0.0007009599999996396
6.998078,2.999184,7.0,3.0,6.99887154,2,-0.0011284600000003309,-0.0011284600000003309,-0.0007935400000000925,-0.0007935400000000925
7.999357,2.999184,8.0,3.0,7.99935181,2,-0.0006481899999997154,-0.0006481899999997154,5.18999999954417e-06,5.18999999954417e-06
8.999648,2.999184,9.0,3.0,9.00013167,2,0.00013167000000002815,0.00013167000000002815,-0.000483669999999492,-0.000483669999999492
9.997941,2.999184,10.0,3.0,9.99885308,2,-0.0011469200000000512,-0.0011469200000000512,-0.0009120799999990936,-0.0009120799999990936
