PSU Readback Voltage,PSU Readback Current,PSU Voltage Set,Load Current Set,DMM Voltage Measured,Programming/Voltage Absolute Error (V),Relative/Voltage Percentage Error (%),PSU Readback Voltage Error (V),Programming Upper Error Boundary (V),Programming Lower Error Boundary (V),Programming Condition,Readback Upper Error Boundary (V),Readback Lower Error Boundary (V),Readback Condition
1.000614,1.00055,1.0,1.0,1.00062299,0.0006229900000001,0.06229900000001,-8.990000000208553e-06,0.1605,-0.1605,PASS,0.1605,-0.1605,PASS
6.997873,1.00055,7.0,1.0,7.01613159,0.0161315899999996,0.2304512857142805,-0.0182585899999994,0.1635,-0.1635,PASS,0.1635,-0.1635,PASS
12.99932,1.00055,13.0,1.0,13.0345052,0.0345051999999999,0.2654246153846146,-0.035185199999999,0.1665,-0.1665,PASS,0.1665,-0.1665,PASS
18.9999,1.00055,19.0,1.0,19.0521295,0.0521294999999994,0.2743657894736815,-0.0522294999999992,0.1695,-0.1695,PASS,0.1695,-0.1695,PASS
24.99964,1.00055,25.0,1.0,25.0697201,0.0697201000000014,0.2788804000000056,-0.0700801000000019,0.17250000000000001,-0.17250000000000001,PASS,0.17250000000000001,-0.17250000000000001,PASS
31.00052,1.000876,31.0,1.0,31.0878176,0.087817600000001,0.2832825806451647,-0.0872975999999994,0.1755,-0.1755,PASS,0.1755,-0.1755,PASS
32.00153,1.00055,32.0,1.0,32.0915514,0.0915514000000001,0.2860981250000005,-0.0900213999999977,0.176,-0.176,PASS,0.176,-0.176,PASS
1.001623,5.999294,1.0,6.0,0.984343728,-0.0156562719999999,-1.565627199999997,0.0172792719999999,0.1605,-0.1605,PASS,0.1605,-0.1605,PASS
6.998882,5.999619,7.0,6.0,6.99954622,-0.0004537799999999,-0.0064825714285708,-0.0006642199999999,0.1635,-0.1635,PASS,0.1635,-0.1635,PASS
12.99932,5.999619,13.0,6.0,13.0177202,0.0177201999999994,0.1363092307692262,-0.0184001999999985,0.1665,-0.1665,PASS,0.1665,-0.1665,PASS
18.9999,5.999944,19.0,6.0,19.0336972,0.0336971999999988,0.1773536842105203,-0.0337971999999986,0.1695,-0.1695,PASS,0.1695,-0.1695,PASS
24.99964,5.999944,25.0,6.0,25.0513358,0.0513358000000003,0.2053432000000015,-0.0516958000000009,0.17250000000000001,-0.17250000000000001,PASS,0.17250000000000001,-0.17250000000000001,PASS
1.001623,9.998999,1.0,10.0,0.968235283,-0.031764717,-3.1764717000000053,0.0333877169999999,0.1605,-0.1605,PASS,0.1605,-0.1605,PASS
6.998882,9.999971,7.0,10.0,6.98373291,-0.0162670900000003,-0.2323870000000053,0.0151490900000004,0.1635,-0.1635,PASS,0.1635,-0.1635,PASS
12.99932,10.0003,13.0,10.0,13.0019924,0.0019924000000006,0.015326153846159,-0.0026723999999997,0.1665,-0.1665,PASS,0.1665,-0.1665,PASS
